ID,DOCUMENT,LABEL
0,"
							How can i change my my spotify username?
							
						",Account
1,"
							Can't connect my spotify account to Facebook
							
						",Account
2,"
							Account showing playlists that I never created/fol...
							
						",Account
3,"
							Passwort zur??cksetzen
							
						",Account
4,"
							Unable to manage my family premium account
							
						",Account
5,"
							Charged twice for two different premiums
							
						",Account
6,"
							artists i am following keep getting unfollowed
							
						",Account
7,"
							Support 1_(800)+3618035 best buy tech support ~~ b...
							
						",Account
8,"
							hello friends i am new music lover
							
						",Account
9,"
							SPOTIFY NO ACEPTA MI TARJETA DE REGALO
							
						",Account
10,"
							My spotify plan changed without asking
							
						",Account
11,"
							Made for you dosent seem to work.
							
						",Account
12,"
							Failure to login spotify app
							
						",Account
13,"
							Waiting new bank card
							
						",Account
14,"
							Spotify won't connect to Facebook
							
						",Account
15,"
							HELP
							
						",Account
16,"
							Account name
							
						",Account
17,"
							Cant log in anymore
							
						",Account
18,"
							Can't use Paypal as a payment method
							
						",Account
19,"
							Student discount removed, overcharged, still stude...
							
						",Account
20,"
							Premium trial using mastercard debit card
							
						",Account
21,"
							Pago por no tenet servicio premiun
							
						",Account
22,"
							Spotify excluindo conta do plano familia
							
						",Account
23,"
							Paying for 2 accounts. I dont know how to cancel t...
							
						",Account
24,"
							invoice with vat
							
						",Account
25,"
							Can't change email from Rogers created account
							
						",Account
26,"
							Can't use Spotify abroad for more than 14 days
							
						",Account
27,"
							Change my Country
							
						",Account
28,"
							Deleted Facebook account and Spotify is messed up
							
						",Account
29,"
							fdgvr
							
						",Account
30,"
							Linked email no longer in use.
							
						",Account
31,"
							Location other than Country
							
						",Account
32,"
							Reverting to original username and blank avatar
							
						",Account
33,"
							problem viewing account in browser and logging in ...
							
						",Account
34,"
							Spotify Premium through Rogers
							
						",Account
35,"
							ONLINe.Quickbooks payroll 1(800)-921-4167"" payroll...
							
						",Account
36,"
							Mi cuenta premiamos est?? en pausa, a pesar de habe...
							
						",Account
37,"
							ACCOUNTS ON PREMIUM
							
						",Account
38,"
							cannot change country
							
						",Account
39,"
							Facebook Profile Picture on Album Cover
							
						",Account
40,"
							Offline mode mobil
							
						",Account
41,"
							Account won't stay logged in on mobile device and ...
							
						",Account
42,"
							Im paying for two accounts that i no longer have a...
							
						",Account
43,"
							Can't log in with Facebook on the App anymore
							
						",Account
44,"
							DESVINCULAR CONTA DO FACEBOOK
							
						",Account
45,"
							Paid for Student Discount Premium but still have a...
							
						",Account
46,"
							Updated payment, charged twice
							
						",Account
47,"
							Can't buy a normal premium subscription
							
						",Account
48,"
							Student Discount - Medical School?
							
						",Account
49,"
							Spotify Free Trial
							
						",Account
50,"
							Family Plan confirmation email code not working
							
						",Account
51,"
							Cobran??a indevida
							
						",Account
52,"
							Email was changed
							
						",Account
53,"
							Can't log in
							
						",Account
54,"
							Spotify Premium with Rogers
							
						",Account
55,"
							Plus de compte famille suite modification coordonn...
							
						",Account
56,"
							Premium account using Sonos: Spotify paused on iOS...
							
						",Account
57,"
							free google mini package lost
							
						",Account
58,"
							Holiday
							
						",Account
59,"
							I want my money back
							
						",Account
60,"
							My girlfriend account is no longer able to use the...
							
						",Account
61,"
							My pic will not show (Artist Profile)
							
						",Account
62,"
							Premium Charges
							
						",Account
63,"
							Charged & not using Spotify until I get a refund!!...
							
						",Account
64,"
							Family account shared overseas
							
						",Account
65,"
							Can't continue to get my student discount?
							
						",Account
66,"
							Claiming Spotify for Artists
							
						",Account
67,"
							T??i kho???n b??? hack
							
						",Account
68,"
							How do I compltely close my acount?
							
						",Account
69,"
							Can login on website, but NOT iOS & windows apps  ...
							
						",Account
70,"
							Premium Family - not receiving email invite
							
						",Account
71,"
							How can I change the Discovery Weekly picture if I...
							
						",Account
72,"
							Free trial offline not working
							
						",Account
73,"
							Da premium a Premium Family
							
						",Account
74,"
							Re: August 5, 2016 : new indie albums worth a list...
							
						",Account
75,"
							Facebook merging account
							
						",Account
76,"
							Change in country/payment details
							
						",Account
77,"
							503 Service Unavailable 1-844-(239)-(9888) 502 Bad...
							
						",Account
78,"
							Cannot change country settings
							
						",Account
79,"
							Moved to new country
							
						",Account
80,"
							Design
							
						",Account
81,"
							I think I've been hacked and locked out my account
							
						",Account
82,"
							Account Issue
							
						",Account
83,"
							Team Speak 3 Musikbot with Spotify
							
						",Account
84,"
							Paying for 2 accounts, how to delete my first one
							
						",Account
85,"
							Ik kan niet inloggen doordat ik mijn wachtwoord be...
							
						",Account
86,"
							My Spotify account was hacked and I can't contact ...
							
						",Account
87,"
							Can't lot in - e-mail not found?
							
						",Account
88,"
							Spotify on iPhone keeps pausing, saying my account...
							
						",Account
89,"
							No Puedo Esuchar Mi Playlist
							
						",Account
90,"
							Dont see my current offline devices
							
						",Account
91,"
							Limit to SAVED ALBUMS??
							
						",Account
92,"
							3 maanden gratis
							
						",Account
93,"
							Como ocultar el perfil en el buscador de spotify
							
						",Account
94,"
							Problems at changing my country
							
						",Account
95,"
							Me cobraron 3 veces!
							
						",Account
96,"
							I am unable to delete my Spotify Account on Androi...
							
						",Account
97,"
							Discount Family Australia 17.99 vs 11.99
							
						",Account
98,"
							Pagamento
							
						",Account
99,"
							How many devices can you use?
							
						",Account
100,"
							Please let us block followers
							
						",Account
101,"
							Due account stessa carta di credito
							
						",Account
102,"
							gift cards
							
						",Account
103,"
							Spotify thinks I'm offline (galaxy s8)
							
						",Account
104,"
							Can no longer sign-in using Onkyo app.
							
						",Account
105,"
							Two accounts with one email
							
						",Account
106,"
							Deleted facebook account and want to cancel my pre...
							
						",Account
107,"
							Cannot login
							
						",Account
108,"
							2 problems.
							
						",Account
109,"
							Upgrade Premium Edition
							
						",Account
110,"
							Unable to Login
							
						",Account
